sku,name,reason
228530,Servietten rot 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228531,Servietten bordeaux 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228532,Servietten blau 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228533,Servietten grün 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228534,Servietten grün 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228535,Servietten grau 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228536,Servietten peach apricot 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228537,Servietten pink 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
228538,Servietten weiß 33x33cm 2-lagig 1/8 Falz,nicht_in_excel
228539,Servietten cream 33x33cm 2-lagig 1/8 Falz,nicht_in_excel
228540,Servietten gelb 33x33cm 2-lagig 1/8 Falz,nicht_in_excel
228541,Servietten rot 33x33cm 2-lagig 1/8 Falz,nicht_in_excel
228542,Servietten bordeaux 33x33cm 2-lagig 1/8 Falz,nicht_in_excel
228543,Servietten blau 33x33cm 2-lagig 1/8 Falz,nicht_in_excel
228544,Servietten grün 33x33cm 2-lagig 1/8 Falz,nicht_in_excel
228553,Servietten weiß 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228555,Servietten cream 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228556,Servietten gelb 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228557,Servietten orange 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228558,Servietten rot 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228559,Servietten bordeaux 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228560,Servietten blau 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228561,Servietten grün 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228562,Servietten grün 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228563,Servietten grau 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228564,Servietten peach apricot 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228565,Servietten pink 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
228566,Servietten weiß 40x40cm 3-lagig 1/8 Falz,nicht_in_excel
228567,Servietten cream 40x40cm 3-lagig 1/8 Falz,nicht_in_excel
228568,Servietten gelb 40x40cm 3-lagig 1/8 Falz,nicht_in_excel
228569,Servietten rot 40x40cm 3-lagig 1/8 Falz,nicht_in_excel
228570,Servietten bordeaux 40x40cm 3-lagig 1/8 Falz,nicht_in_excel
