sku,licenseFeeCents,licenseMaterial,licenseWeightKg
10805,303,LP,12.1
10890,113,LP,4.5
10891,48,LP,1.9
10909,376,LK,3.8
10910,376,LK,3.8
10920,1030,LK,10.4
11000,822,LK,8.3
11049,89,LK,0.9
11100,644,LK,6.5
11101,386,LK,3.9
11125,158,LK,1.6
11126,149,LK,1.5
11127,396,LK,4
11128,455,LK,4.6
11129,535,LK,5.4
11130,693,LK,7
11250,168,LK,1.7
11251,173,LK,1.75
11301,188,LK,1.9
11375,406,LK,4.1
11376,644,LK,6.5
11498,158,LP,6.3
11499,175,LP,7
11500,238,LK,2.4
11501,228,LK,2.3
11509,63,LP,2.52
11511,275,LP,11
11512,337,LK,3.4
11513,200,LP,8
11514,1109,LK,11.2
11515,1287,LK,13
11516,822,LK,8.3
11517,1188,LK,12
11518,1168,LK,11.8
11521,158,LK,1.6
11522,178,LK,1.8
11523,158,LK,1.6
11535,841,LK,8.5
11536,812,LK,8.2
11552,1020,LK,10.3
11555,51,LA,0.52
11565,78,LP,3.1
11580,1188,LK,12
11581,1188,LK,12
11582,1188,LK,12
11600,495,LK,5
11604,341,LK,3.44
11605,333,LK,3.36
11606,721,LK,7.28
11607,879,LK,8.88
11608,840,LK,8.48
11609,950,LK,9.6
11610,465,LK,4.7
11611,406,LK,4.1
11652,250,LP,10
11655,525,LK,5.3
11656,371,LK,3.75
11700,1020,LK,10.3
11710,1604,LK,16.2
11750,693,LK,7
11780,208,LK,2.1
11785,120,LP,4.8
11900,53,LP,2.1
11950,105,LP,4.2
11951,143,LP,5.7
11952,150,LP,6
11953,208,LK,2.1
11954,356,LK,3.6
11955,173,LP,6.9
12030,297,LK,3
12031,277,LK,2.8
12032,400,LK,4.2
12034,446,LK,4.5
12035,594,LK,6
12036,661,LK,6.68
12043,68,LK,4.5
12044,213,LP,8.5
12045,117,LK,7.8
12046,250,LP,10
12048,213,LP,8.5
12049,250,LP,10
12050,475,LK,5
12054,646,LK,6.53
12067,990,LA,10
12069,250,LA,2.53
12070,495,LA,5
12071,337,LA,3.4
12072,495,LA,5
12073,483,LA,4.88
12074,0,LK,
12075,871,LK,8.8
12076,455,LK,4.6
12077,1139,LK,11.5
12078,208,LK,2.1
12079,337,LK,3.4
12081,554,LK,5.6
12082,743,LK,7.5
12083,139,LK,1.4
12090,149,LK,1.5
12100,213,LP,8.5
12200,213,LP,8.5
12201,238,LP,9.5
12300,297,LK,3
12537,313,LP,12.5
12538,313,LP,12.5
12539,313,LP,12.5
13018,13,LP,0.5
13020,24,LP,0.95
13021,78,LA,0.79
13022,14,LP,0.56
13023,104,LA,1.05
13025,97,LA,0.98
13027,95,LA,0.96
13028,54,LA,0.55
13029,85,LA,0.86
13031,16,LP,0.65
13032,175,LA,1.77
13033,20,LP,0.8
13038,114,LA,1.15
13040,115,LA,1.16
13041,54,LA,0.55
13042,121,LA,1.22
13043,140,LA,1.41
13044,21,LP,0.82
13045,257,LA,2.6
13046,487,LA,4.92
13047,940,LA,9.5
13048,133,LA,1.34
13049,297,LA,3
13050,1020,LA,10.3
13063,841,LA,8.5
13100,213,LP,8.5
13101,250,LP,10
13349,267,LK,2.7
13350,713,LK,7.2
13351,772,LK,7.8
13352,891,LK,9
13353,208,LK,2.1
13749,313,LP,12.5
13750,313,LP,12.5
13751,313,LP,12.5
13752,313,LP,12.5
13753,436,LK,4.4
13754,198,LK,2
13757,604,LK,6.1
13761,106,LP,4.25
13800,693,LK,7
14004,277,LK,2.8
14005,277,LK,2.8
14006,277,LK,2.8
14007,520,LK,5.25
14008,248,LK,2.5
14009,396,LK,4
14010,208,LK,2.1
14011,322,LK,3.25
14012,297,LK,3
14013,371,LK,3.75
14014,297,LK,3
14015,238,LK,2.4
14016,0,LK,
14018,832,LK,8.4
14019,495,LK,5
14020,376,LK,3.8
14022,248,LK,2.5
14026,267,LK,2.7
14027,475,LK,4.8
14028,428,LK,4.32
14029,802,LK,8.1
14030,470,LK,4.75
14031,337,LK,3.4
14032,460,LA,4.65
14034,802,LK,8.1
14036,337,LK,3.4
14037,535,LK,5.4
14038,248,LK,2.5
14039,248,LK,2.5
14040,297,LK,3
14043,297,LK,3
14050,891,LK,9
14051,891,LK,9
14052,401,LK,4.05
14053,470,LK,4.75
14055,866,LK,8.75
14060,102,LP,4.1
14061,138,LP,5.5
14062,138,LP,5.5
14098,394,LP,15.75
14099,245,LP,9.8
14103,0,LK,
14104,0,LK,
14111,103,LP,4.13
14112,190,LP,7.6
14126,143,LP,5.7
15013,331,LP,13.25
15037,223,LP,8.9
15204,135,LP,5.4
15224,155,LP,6.2
15244,180,LP,7.2
15264,203,LP,8.1
15284,235,LP,9.4
15294,242,LP,9.7
15304,265,LP,10.6
15314,275,LP,11
15324,395,LP,15.8
15405,468,LP,18.7
15505,336,LP,13.45
15650,113,LP,4.5
16069,436,LK,4.4
16070,515,LK,5.2
17021,693,LK,7
17022,178,LK,1.8
18010,200,LP,8
18011,275,LP,11
19010,285,LP,11.4
19011,298,LP,11.9
19018,185,LP,7.4
19020,283,LP,11.3
19023,200,LP,8
19025,270,LP,10.8
19026,168,LP,6.7
19028,163,LP,6.5
19030,213,LP,8.5
19032,233,LP,9.3
19034,245,LP,9.8
19060,240,LP,9.6
19079,325,LP,13
19080,368,LP,14.7
19116,418,LP,16.7
19120,318,LP,12.7
19122,220,LP,8.8
19124,345,LP,13.8
19125,533,LP,21.3
19126,195,LP,7.8
19133,288,LP,11.5
19175,330,LP,13.2
19195,200,LP,8
19196,258,LP,10.3
19198,330,LP,13.2
19199,360,LP,14.4
19200,417,LP,16.68
19201,45,LP,1.8
19202,57,LP,2.3
19203,69,LP,2.75
19220,188,LP,7.5
19250,214,LP,8.57
19251,189,LP,7.55
19252,224,LP,8.94
19253,249,LP,9.97
19254,135,LP,5.4
19255,165,LP,6.6
19309,165,LP,6.6
19310,225,LP,9
19311,244,LP,9.75
19312,120,LP,4.8
19313,170,LP,6.8
19314,169,LP,6.75
19315,390,LP,15.6
19351,205,LP,8.2
19352,213,LP,8.5
19353,208,LP,8.3
19400,188,LP,7.5
19623,363,LP,14.5
19897,180,LP,7.2
19898,238,LP,9.5
19899,140,LP,5.6
19900,168,LP,6.7
19901,225,LP,9
36843,135,LP,5.4
61116,213,LP,8.5
61116W,213,LP,8.5
61126,250,LP,10
61126W,250,LP,10
99872,841,LK,8.5
99874,757,LK,7.65
99875,673,LK,6.8
99878,1040,LK,10.5
234650,220,LP,8.8
234675,217,LP,8.7
234676,200,LP,8
234680,180,LP,7.2
300107,41,LP,1.65
303218,244,LP,9.75
303220,125,LP,5
303221,138,LP,5.5
Rest,0,LK,
